NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.063017,0.073372,0.082653,0.058626,0.073181,0.086741,0.099226,0.1106,0.12087,0.13002,0.13807,0.14502,0.15089,0.15569,0.15944,0.16215,0.16384,0.16453,0.1484,0.12586,0.13048,0.13397,0.13637,0.13775,0.13815,0.13763,0.13623,0.134,0.13101,0.1273,0.12293,0.11797,0.11247,0.10651,0.034784,0.036527,0.038516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.061753,0.094314,0.12632,0.15771,0.18849,0.22049,0.25297,0.28919,0.3221,0.354,0.38487,0.4147,0.4435,0.47125,0.49797,0.52363,0.54825,0.5718,0.5943,0.60707,0.63464,0.66102,0.6862,0.7102,0.73302,0.75465,0.78126,0.7979,0.81321,0.8272,0.83986,0.85122,0.84378,0.86252,0.88004,0.89636,0.91147,0.92539,0.93813,0.94969,0.9601,0.96937,0.98935,0.98835,0.98612,0.98268,0.97453,0.98026,0.9851,0.98905,0.99212,0.99431,0.99564,0.9961,0.99572,0.99449,0.99243,0.99051,0.97368,0.95597,0.93742,0.92347,0.91544,0.90722,0.89881,0.89022,0.88144,0.87248,0.86334,0.85401,0.84451,0.82357,0.79688,0.76993,0.74277,0.71545,0.68802,0.65266,0.63367,0.61584,0.59919,0.58375,0.56956,0.55662,0.53223,0.50321,0.47465,0.44661,0.41914,0.39232,0.3662,0.34085,0.31637,0.29283,0.27035,0.24902,0.19265,0.16182,0.13824,0.11706,0.099022,0.085251,0.077049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08696,0.13068,0.1748,0.21909,0.26348,0.30793,0.35242,0.39694,0.44148,0.48737,0.52668,0.56591,0.60508,0.64416,0.69839,0.74119,0.78346,0.82519,0.86638,0.90701,0.94708,0.96576,1.0031,1.0396,1.0754,1.1103,1.1444,1.1777,1.2102,1.2419,1.2728,1.3029,0.65713,0.8652,1.0944,1.3049,1.5118,1.7149,1.9144,2.1101,2.3021,2.4904,2.6749,2.8557,3.0329,3.2063,3.2263,3.4059,3.5756,3.7354,3.8852,4.0243,4.114,4.1997,4.2817,4.3598,4.4341,4.5046,4.4004,4.5133,4.6174,4.7127,4.7994,4.8774,4.9467,5.0221,4.9961,4.9681,4.9381,4.9061,4.8721,4.8362,4.6501,4.6619,4.6694,4.6725,4.6713,4.6659,4.6561,4.5528,4.4328,4.3145,4.1979,4.0832,3.9703,3.8592,3.4247,3.3954,3.3686,3.3442,3.3224,3.2537,3.0869,2.9266,2.773,2.626,2.4856,2.3517,2.2243,2.1035,1.9891,1.881,1.658,1.5793,1.4512,1.3085,1.1781,1.2637,1.2107,1.1596,1.1103,1.0628,1.0173,0.97369,0.93204,0.87122,0.81725,0.76477,0.71381,0.66441,0.6166,0.57042,0.49911,0.46139,0.42793,0.39904,0.37506,0.3563,0.33015,0.28601,0.24461,0.2062,0.17112,0.14,0.11388,0.09442,0.0837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.071647,0.12015,0.17116,0.22357,0.27713,0.33171,0.38729,0.44384,0.50136,0.56245,0.6091,0.65667,0.70518,0.75462,0.805,0.85631,0.90857,0.96177,1.0298,1.0869,1.1443,1.2018,1.2171,1.2653,1.3135,0.79614,1.1409,1.4946,1.8533,2.2157,2.5812,2.9495,3.3204,3.6399,3.9396,4.2358,4.5285,4.8178,5.1035,5.3858,5.7937,6.0757,6.3562,6.6353,6.7663,7.0361,7.298,7.5521,7.7984,8.037,8.2679,8.491,8.7065,5.7472,7.0672,8.3711,9.1753,10.243,11.25,12.231,13.185,14.113,15.015,15.889,16.737,17.559,18.354,18.221,19.104,19.924,20.684,21.239,21.502,21.742,21.962,22.159,22.335,22.489,22.621,21.687,22.144,22.554,22.917,23.233,23.121,22.789,22.452,22.112,21.767,21.419,21.067,20.712,19.021,18.974,18.92,18.86,18.21,17.348,16.514,15.709,14.932,14.184,13.466,12.778,12.12,11.493,7.3351,7.3963,6.8568,6.2763,5.7377,5.2407,4.7849,4.3697,3.9939,3.6562,3.3546,3.0867,2.8495,5.9736,5.7206,5.4658,5.2225,4.9907,4.7703,4.5615,4.3643,4.1789,3.8361,3.4995,3.184,2.8895,2.6161,2.3639,2.1328,1.9227,1.7336,1.5653,1.4173,1.3515,1.1569,1.0776,1.1233,1.0301,0.94177,0.8585,0.78036,0.70749,0.64014,0.57862,0.52337,0.47497,0.43411,0.41056,0.35211,0.29734,0.2464,0.19957,0.15736,0.1208,0.09207,0.075103,0.073372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.085815,0.13507,0.18655,0.23945,0.29353,0.34869,0.4049,0.46214,0.5204,0.57969,0.63999,0.70132,0.74905,0.79921,0.8503,0.90233,0.95531,1.0092,1.0641,1.12,1.1767,1.2345,1.2932,1.3529,0.93332,1.2786,1.6321,1.9907,2.353,2.7184,3.0867,3.4577,3.8312,4.2072,4.5856,4.8561,5.1667,5.4737,5.7773,6.0774,6.374,6.6672,6.9569,7.2431,7.6475,7.9295,8.0547,8.327,8.5915,5.2814,6.7138,8.1298,9.5286,10.91,12.273,13.619,14.947,15.609,16.874,18.082,19.234,20.453,21.365,22.25,23.109,23.94,24.746,25.524,26.277,26.276,27.078,27.82,28.501,29.123,29.899,30.047,30.174,30.279,30.363,30.426,30.016,30.363,30.664,30.918,31.125,31.287,31.404,31.366,30.881,30.392,29.899,29.403,28.127,27.855,27.575,27.288,26.993,26.689,26.378,25.512,24.471,23.458,22.471,21.512,20.58,19.676,16.145,15.796,15.498,15.255,14.725,13.886,13.085,12.323,11.599,10.914,10.266,9.6563,9.0841,8.5493,8.6348,7.786,7.0973,6.5686,6.7981,6.5159,6.2449,5.9852,5.7366,5.4994,4.8908,4.5128,4.1553,3.8182,3.5015,3.2052,2.9291,2.6732,2.4374,2.2214,1.1727,1.0505,1.4387,1.3063,1.3935,1.2908,1.193,1.1001,1.0121,0.92914,0.85142,0.77911,0.71252,0.65203,0.59814,0.54186,0.47704,0.41587,0.35842,0.30482,0.25527,0.21012,0.17001,0.13609,0.11035,0.09555,0.09331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.089923,0.13933,0.19095,0.244,0.29826,0.35363,0.41008,0.46758,0.52614,0.58574,0.6464,0.70811,0.77088,0.8177,0.86916,0.92158,0.97493,1.0292,1.0845,1.1407,1.1979,1.256,1.3151,0.56439,0.94827,1.3632,1.6952,2.2264,2.5903,2.9572,3.3268,3.6991,4.0739,4.4512,4.8309,5.213,5.4593,5.7753,6.0878,6.3968,6.7023,7.0043,7.3029,7.598,7.8897,8.1779,8.4627,4.8018,6.2894,7.7609,9.2153,10.652,12.071,13.472,14.856,16.221,17.568,18.898,19.487,20.746,21.949,23.095,24.186,25.49,26.353,27.19,28,28.784,29.542,29.539,30.362,31.126,31.83,32.474,33.059,33.585,34.255,34.336,34.396,34.434,34.218,34.535,34.805,35.029,35.208,35.341,35.429,35.473,35.733,35.174,34.613,34.047,33.479,32.771,32.381,31.983,31.577,31.162,30.74,30.309,29.688,28.549,27.437,26.352,25.294,24.263,23.26,20.691,20.177,19.711,19.295,18.931,17.912,16.999,16.124,15.288,14.49,13.73,13.009,12.325,11.798,10.604,9.5442,8.622,7.8391,7.195,7.3123,7.0166,6.7319,6.4584,6.1959,5.4332,5.035,4.6571,4.2994,3.9621,3.6448,3.3477,3.0705,2.1508,1.9293,1.7439,1.5974,1.7395,1.519,1.3518,1.4262,1.3236,1.2258,1.1329,1.0449,0.96203,0.88436,0.81217,0.74576,0.68557,0.60847,0.54046,0.47609,0.41542,0.35853,0.30557,0.25677,0.21254,0.1736,0.14118,0.11729,0.1043,0.10319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.092105,0.14155,0.19324,0.24639,0.30078,0.35631,0.41294,0.47065,0.52945,0.58932,0.65028,0.71232,0.77544,0.83965,0.88556,0.93836,0.99211,1.0468,1.1025,1.1591,1.2167,1.2752,1.3347,0.71287,1.1125,1.5426,1.9756,2.3162,2.6602,3.1875,3.5585,3.9321,4.3082,4.6868,5.0678,5.4512,5.837,6.0595,6.3808,6.6987,7.0131,7.3241,7.6315,7.9355,8.236,8.5331,4.5435,6.4634,8.4018,10.228,11.703,13.16,14.598,16.019,17.422,18.806,20.173,21.522,22.853,23.38,24.633,25.83,26.971,28.057,29.087,30.478,31.294,32.083,32.845,33.582,33.706,34.491,35.217,35.884,36.492,37.041,37.532,37.966,38.535,38.55,38.599,38.886,39.127,39.323,39.473,39.578,39.639,39.656,39.629,39.558,39.523,38.889,38.252,38.009,37.51,37.003,36.488,35.965,35.433,34.894,34.346,33.921,32.687,31.478,30.297,29.142,28.015,26.061,25.333,24.65,24.013,23.422,22.88,22.012,20.988,20.002,19.055,18.147,17.277,16.445,15.651,14.098,12.756,11.537,10.443,9.4746,8.6317,7.9136,7.8137,7.5047,7.2067,6.9196,5.9871,5.5688,5.1707,4.7928,4.435,4.0972,3.4145,3.0936,2.806,2.553,2.3365,2.1589,2.1262,1.8484,1.6129,1.4219,1.458,1.3554,1.2575,1.1645,1.0765,0.99347,0.91574,0.84352,0.75079,0.67597,0.60476,0.53721,0.47333,0.41318,0.35688,0.30458,0.25656,0.21329,0.1756,0.14483,0.123,0.1122,0.11279,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.036575,0.089928,0.19349,0.24669,0.30115,0.35679,0.41355,0.47143,0.53041,0.5905,0.6517,0.71401,0.77744,0.84198,0.90765,0.95271,1.0069,1.062,1.118,1.1751,1.233,1.292,1.3519,0.8638,1.2708,1.7008,2.1445,2.5797,2.9287,3.281,3.6368,3.9959,4.5342,4.9141,5.2964,5.6811,6.0682,6.4578,6.6566,6.9834,7.3067,7.6265,7.9428,8.2557,8.5651,4.5698,6.4981,8.4464,10.404,12.213,13.738,15.65,17.109,18.549,19.971,21.375,22.761,24.129,25.48,25.983,27.286,28.534,29.726,30.862,31.943,32.969,33.941,35.419,36.187,36.929,37.644,37.916,38.664,39.354,39.984,40.557,41.071,41.529,41.93,42.774,42.745,43.419,43.631,43.798,43.921,43.999,44.033,44.024,43.971,43.876,43.739,43.928,43.223,42.516,42.965,42.351,41.729,41.099,40.461,39.815,39.162,38.5,37.83,36.884,35.581,34.305,33.056,31.915,30.976,30.08,29.226,28.417,27.652,26.932,26.259,25.042,23.947,22.891,21.873,20.893,19.952,19.049,16.483,15.014,13.662,12.427,11.311,10.312,9.4302,8.6642,8.3055,7.9836,7.6725,6.5538,6.1155,5.6974,5.2994,4.9643,4.5445,4.1569,3.8018,3.4802,3.1933,2.9427,2.7303,2.5574,2.2398,1.9584,1.7141,1.5081,1.489,1.3863,1.2883,1.1951,1.1068,1.0236,0.94571,0.82256,0.74454,0.67015,0.59941,0.53233,0.46896,0.40936,0.35364,0.30202,0.2548,0.21254,0.17619,0.14722,0.1277,0.1194,0.05041,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.043187,0.096597,0.15604,0.23328,0.27696,0.35514,0.41199,0.46998,0.5291,0.58935,0.65074,0.71327,0.77695,0.84177,0.90775,0.97488,1.0192,1.0748,1.1313,1.1887,1.2471,1.3065,0.64249,1.0119,1.4222,1.8512,2.2926,2.7441,3.1755,3.5329,3.8936,4.2578,4.6254,4.9965,5.5167,5.9027,6.2912,6.682,7.0753,7.251,7.5831,7.9118,8.237,8.5587,8.877,6.4527,8.4118,10.382,12.359,14.339,16.015,17.565,19.077,21.061,22.503,23.926,25.332,26.719,28.089,29.441,29.909,31.207,32.45,33.636,34.768,35.845,36.867,37.835,38.75,40.314,41.035,41.4,42.171,42.883,43.537,44.133,44.671,45.153,45.578,45.947,46.261,48.133,48.318,48.457,48.553,48.605,48.613,48.578,48.501,48.381,48.22,48.019,47.777,47.619,48.749,48.03,47.303,46.568,45.826,45.076,44.318,43.553,42.78,42,41.145,39.749,38.38,38.26,37.114,36.008,34.943,33.92,32.939,32,31.105,30.254,29.164,27.96,26.795,25.669,24.581,23.531,20.632,18.932,17.345,15.872,14.513,13.267,12.135,11.116,10.208,9.4104,8.7908,8.4563,7.1347,6.6767,6.8007,6.2828,5.7964,5.3417,4.9191,4.5289,4.1721,3.8495,3.5627,3.3951,3.0136,2.6647,2.3489,2.0665,1.8179,1.6033,1.4225,1.4165,1.3182,1.2248,1.1362,1.0527,0.89558,0.81437,0.73681,0.66289,0.59263,0.52605,0.46319,0.40413,0.34901,0.29806,0.25166,0.10715,0.10017,0.11458,0.047463,0.014648,0.044951,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.048372,0.10133,0.16009,0.22148,0.30125,0.34668,0.39462,0.44501,0.49782,0.58595,0.64748,0.71017,0.77404,0.83909,0.90532,0.97274,1.0414,1.0853,1.1422,1.2,1.2589,1.3187,0.77386,1.155,1.5662,1.9937,2.4327,2.8814,3.3388,3.7633,4.1291,4.4984,4.8711,5.2473,5.6269,6.01,6.3966,6.8981,7.2927,7.6897,7.8427,8.1802,8.5142,8.8448,6.3279,8.2966,10.279,12.269,14.264,16.262,18.262,19.805,21.381,22.918,24.416,26.46,27.885,29.292,30.681,32.052,33.405,33.85,35.143,36.38,37.562,38.69,39.763,40.781,41.747,42.658,43.518,45.165,45.737,46.473,47.15,47.77,48.332,48.837,31.405,34.727,37.922,40.981,44.787,45.836,46.689,47.465,48.162,48.781,49.322,49.786,50.171,50.479,50.71,50.865,36.081,34.946,33.863,52.373,51.528,50.675,49.816,48.95,48.076,47.196,46.31,45.416,43.985,45.102,43.751,42.439,41.168,39.936,38.745,37.595,36.485,35.417,34.391,33.358,32.046,30.774,29.539,28.344,27.187,23.246,21.435,19.736,18.149,16.673,15.309,14.055,12.912,11.877,10.951,10.131,9.273,8.9243,8.3087,7.7245,7.1716,6.6501,6.1601,5.702,5.276,4.883,4.5237,4.1995,3.8934,3.486,3.1099,2.7654,2.4523,2.1709,1.921,1.7024,1.5145,1.4462,1.3476,1.2537,1.1648,0.97002,0.88564,0.80492,0.72785,0.65442,0.58465,0.51857,0.45622,0.32605,0.26498,0.21418,0.17671,0.15649,0.15547,0.098681,0.052606,0.022723,0.043518,NaN,NaN,NaN,NaN
