NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015932,0.015431,0.014966,0.024032,0.023329,0.022675,0.02207,0.021513,0.021005,0.020546,0.020137,0.019777,0.019467,0.019208,0.018999,0.018841,0.018735,0.018682,0.021787,0.023687,0.02369,0.02376,0.023895,0.024096,0.024362,0.024693,0.025088,0.025547,0.02607,0.026656,0.027307,0.02802,0.028798,0.029639,0.030563,0.031534,0.032574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012046,0.010939,0.009882,0.008869,0.007893,0.008974,0.009442,0.001288,0.001128,0.00095767,0.00077558,0.00058294,0.00038881,0.00024376,0.00030446,0.00053196,0.0008159,0.001131,0.001471,0.005002,0.00375,0.00376,0.004948,0.006703,0.00871,0.010874,0.013196,0.014038,0.014895,0.015766,0.016648,0.017538,0.017641,0.015902,0.015127,0.015414,0.016684,0.018736,0.021359,0.024393,0.027737,0.031334,0.037023,0.037579,0.038082,0.038533,0.034554,0.032033,0.030202,0.029155,0.028958,0.029624,0.031108,0.033323,0.03617,0.039555,0.0434,0.049369,0.049017,0.048594,0.0481,0.041152,0.036595,0.032692,0.029577,0.027423,0.026399,0.026608,0.02803,0.030536,0.033948,0.036654,0.035245,0.033776,0.032249,0.030664,0.029023,0.02394,0.019988,0.016469,0.013599,0.011755,0.011372,0.012551,0.012018,0.010574,0.009126,0.007694,0.006314,0.005062,0.004105,0.003734,0.004165,0.005247,0.006711,0.008394,0.009414,0.006084,0.007422,0.008825,0.010287,0.011803,0.013374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023437,0.020354,0.017402,0.014584,0.011922,0.00946,0.007309,0.005722,0.005146,0.005225,0.005656,0.006486,0.007638,0.009057,0.00856,0.009677,0.010828,0.012015,0.013239,0.014503,0.015807,0.014756,0.013449,0.01212,0.010768,0.009397,0.008012,0.006621,0.005243,0.003926,0.002804,0.00226,0.046925,0.042293,0.11552,0.07467,0.066157,0.057364,0.048318,0.039083,0.029832,0.021074,0.014633,0.01502,0.022494,0.032929,0.076627,0.037714,0.034326,0.071213,0.1148,0.14253,0.15608,0.16988,0.1839,0.19814,0.21261,0.22728,0.24218,0.1984,0.16754,0.16346,0.1875,0.23137,0.28689,0.36782,0.37168,0.37559,0.37952,0.38348,0.38747,0.39148,0.31607,0.26028,0.22201,0.20981,0.22766,0.27021,0.34618,0.33448,0.3228,0.31113,0.29944,0.28774,0.27601,0.26426,0.25167,0.15533,0.076738,0.089681,0.17507,0.12792,0.10527,0.083431,0.063341,0.04747,0.041308,0.04896,0.066006,0.087299,0.11059,0.13502,0.17104,0.22208,0.1411,0.18444,0.22874,0.034519,0.029819,0.025629,0.022105,0.01949,0.018093,0.018143,0.019614,0.021969,0.020171,0.018395,0.016639,0.014906,0.013194,0.011509,0.012362,0.009948,0.0078,0.00623,0.005779,0.006733,0.002017,0.002106,0.003134,0.004512,0.006027,0.007622,0.009285,0.011014,0.012814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029723,0.025262,0.020887,0.016591,0.012371,0.008252,0.004392,0.002445,0.005279,0.010459,0.00886,0.009346,0.011594,0.014841,0.018637,0.022805,0.027294,0.0321,0.03724,0.044181,0.047966,0.05182,0.045894,0.04524,0.044748,0.23473,0.18935,0.14538,0.10296,0.062923,0.030916,0.037195,0.071265,0.10919,0.093369,0.073526,0.060003,0.05923,0.073453,0.097911,0.12832,0.09573,0.098596,0.10133,0.10402,0.089423,0.067155,0.044568,0.028911,0.03918,0.068023,0.10354,0.14316,0.18625,0.56835,0.41571,1.4412,2.0176,1.7904,1.549,1.2939,1.0268,0.7519,0.48549,0.30907,0.4209,0.71764,1.0703,0.45333,1.3381,2.3839,1.1333,1.3452,1.5762,1.8213,2.0775,2.3431,2.6171,2.8988,2.6472,1.7606,1.6155,2.3562,3.4689,2.6779,2.6967,2.7088,2.7135,2.7106,2.6997,2.6809,2.6542,1.5315,0.81303,1.7403,3.0964,0.82178,0.65603,0.55352,0.56283,0.69086,0.89773,1.1502,1.4321,1.7364,2.0596,3.1805,4.3421,2.4919,2.4795,2.4711,2.4666,2.4659,2.4689,2.4757,2.4862,2.5004,2.5184,2.5402,3.2132,0.67514,0.59985,0.52684,0.45653,0.38957,0.32715,0.2714,0.22613,0.040373,0.031151,0.022396,0.014628,0.009912,0.012049,0.018595,0.026291,0.034247,0.042215,0.050108,0.033236,0.032728,0.030141,0.02491,0.022272,0.019943,0.01793,0.016239,0.014874,0.01384,0.013135,0.012754,0.012686,0.012915,0.013619,0.008365,0.004809,0.00667,0.011594,0.017151,0.022929,0.028848,0.034892,0.041067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.029039,0.024438,0.019929,0.015505,0.011172,0.006985,0.003351,0.003394,0.007034,0.011196,0.015486,0.019846,0.018651,0.018628,0.01969,0.021685,0.024429,0.027776,0.031632,0.035946,0.040698,0.045882,0.051506,0.34887,0.27232,0.17457,0.12914,0.085551,0.04573,0.027008,0.054891,0.093624,0.13362,0.17376,0.21385,0.25393,0.19735,0.17381,0.15257,0.13558,0.12581,0.12638,0.13865,0.16144,0.19241,0.14888,0.152,0.1444,0.12179,0.10154,0.46589,0.4478,0.39487,0.30596,0.18676,0.10896,0.26009,0.5061,0.64226,1.2393,1.9163,0.43731,0.62984,0.94812,1.318,1.7183,2.1421,2.5867,3.0508,2.6457,2.1634,2.0821,2.4288,3.0641,3.8603,4.8311,5.1806,5.5382,5.9035,6.2763,6.2035,5.358,4.7164,4.3572,4.3496,4.7041,5.3659,6.8711,6.9423,7.0066,7.0635,7.1127,7.1541,5.3728,4.3352,3.5403,3.1713,3.3822,4.1067,4.0576,3.8384,3.6127,3.3805,3.1417,2.8967,2.6467,2.5335,1.2986,1.2586,2.4996,0.83101,0.81898,0.81091,0.80649,0.80546,0.80766,0.81298,0.8214,0.83295,0.84776,1.3238,1.8946,2.4827,3.0834,0.64768,0.57637,0.50973,0.44897,0.3959,0.35303,0.08156,0.071616,0.061953,0.052634,0.043766,0.035553,0.028401,0.023111,0.020915,0.022534,0.27935,0.30251,0.28158,0.34581,0.031151,0.029533,0.028286,0.027391,0.026819,0.02654,0.026518,0.02672,0.027119,0.027691,0.028423,0.027371,0.021342,0.015462,0.009872,0.005378,0.005715,0.010428,0.016066,0.021971,0.028027,0.034213,0.040532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028871,0.024197,0.019618,0.015129,0.010739,0.006524,0.003079,0.003934,0.007772,0.012024,0.016394,0.020834,0.025337,0.023893,0.023747,0.024515,0.026118,0.028452,0.031419,0.034942,0.038975,0.043489,0.048475,0.32962,0.26464,0.20887,0.16451,0.056073,0.026751,0.046469,0.085266,0.12605,0.16702,0.20789,0.24866,0.28939,0.3302,0.25126,0.22579,0.20226,0.1821,0.16749,0.16112,0.16526,0.18055,0.20584,0.23923,0.27901,0.37482,0.42331,0.43924,0.41762,0.35661,0.25634,0.12396,0.11132,0.32237,0.5899,0.90194,1.0059,1.2178,1.5957,1.9911,1.4599,1.8676,2.3036,2.7632,3.2441,3.745,4.2653,3.7153,3.2837,3.1128,3.2424,3.6502,4.275,6.5545,6.9496,7.3532,7.7648,8.1843,7.7598,6.9989,6.4163,6.0536,5.9493,6.1222,6.5631,9.0715,9.168,9.2582,9.3418,9.4183,8.0303,6.9293,5.9616,5.1859,4.6916,4.5759,4.8815,5.9547,5.7428,5.525,5.3008,5.07,4.8325,4.5921,3.0848,1.6263,0.66329,1.7307,3.2459,0.52092,0.51824,0.51618,0.51428,0.51219,0.50978,0.50706,0.50426,0.44764,0.75043,1.2784,1.8497,2.4379,3.038,0.63947,0.57222,0.51133,0.45846,0.41572,0.10298,0.092602,0.082486,0.072672,0.063223,0.054241,0.045896,0.03848,0.16178,0.17875,0.20143,0.22875,0.19827,0.26086,0.32504,0.035873,0.034992,0.034424,0.034139,0.034104,0.034289,0.034665,0.035211,0.03591,0.036752,0.034566,0.02831,0.022174,0.016183,0.010459,0.005679,0.00543,0.01005,0.015738,0.021712,0.027842,0.034103,0.040498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028819,0.02407,0.01942,0.014864,0.010416,0.006175,0.00295,0.004428,0.00841,0.012746,0.017192,0.02171,0.026294,0.030946,0.029327,0.029087,0.029648,0.030966,0.03298,0.035626,0.038852,0.042617,0.046896,0.3105,0.24522,0.18187,0.15577,0.10197,0.079704,0.10865,0.1181,0.15995,0.20167,0.24323,0.28466,0.32607,0.36756,0.40926,0.30733,0.27998,0.25446,0.23195,0.21419,0.2034,0.20179,0.2108,0.2304,1.5992,1.4195,0.63155,0.5088,0.47596,0.40175,0.2864,0.13357,0.095835,0.32753,0.61175,0.93972,1.3729,1.1626,1.1694,1.3236,1.5498,1.8148,2.8442,3.3355,3.8497,4.3852,4.941,5.5337,4.9921,4.6127,4.4329,4.4819,4.7656,5.2658,5.9522,8.7912,9.2391,9.6955,10.391,9.5513,8.8517,8.314,7.9628,7.821,7.9034,8.2127,8.7388,11.482,11.595,11.703,10.835,9.6841,8.637,7.7157,6.9559,6.408,6.1302,6.169,7.9159,7.7084,7.496,7.2781,7.0542,6.8241,5.3946,3.8861,2.4329,1.2156,1.3535,2.6767,1.1828,1.1847,1.185,1.1835,1.18,1.1744,1.1667,1.157,0.7649,0.44621,0.72563,1.25,1.8202,2.4073,3.0061,0.6356,0.57409,0.52089,0.47786,0.12503,0.11416,0.10353,0.093186,0.083163,0.073528,0.066583,0.068468,0.085032,0.11024,0.14012,0.17305,0.11776,0.17775,0.24017,0.3043,0.042597,0.04224,0.042134,0.042251,0.042564,0.043053,0.043699,0.04449,0.048569,0.041954,0.035468,0.029103,0.022862,0.016766,0.010921,0.005928,0.005243,0.009804,0.015551,0.021599,0.027806,0.034145,0.040619,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,0.030685,0.025705,0.019335,0.01471,0.010203,0.005934,0.002925,0.00485,0.008945,0.013358,0.01788,0.022474,0.027136,0.03187,0.036682,0.034963,0.034643,0.035049,0.036153,0.037918,0.040302,0.043271,0.046796,0.29145,0.22588,0.16233,0.10176,0.12265,0.060629,0.042797,0.096239,0.16123,0.22877,0.27977,0.32188,0.36398,0.40619,0.44862,0.49141,0.36639,0.33724,0.30995,0.28557,0.26556,0.25176,0.24618,1.6352,1.4088,1.2286,1.0931,0.46211,0.64061,0.54029,0.42232,0.28388,0.20745,0.34786,0.617,0.94825,1.3283,1.5358,1.3626,1.3195,1.4024,1.6019,1.9106,2.3258,4.4238,4.9902,5.5785,6.1879,6.9954,6.5245,6.1994,6.045,6.0825,6.3227,6.7633,7.3918,8.1907,11.209,11.709,12.388,11.597,10.944,10.443,10.11,9.9588,10,10.239,10.672,13.897,14.032,14.162,12.623,11.51,10.501,9.6121,8.8656,8.2927,7.9299,7.8125,7.9637,9.7457,9.5359,9.3216,9.1023,7.874,6.3325,4.8398,3.4236,2.2082,1.7034,2.4373,2.0235,2.0256,2.0259,2.0242,2.0204,2.0146,2.0065,1.9135,1.3271,0.78809,0.46171,0.72118,1.2391,1.8063,2.3912,2.9877,0.63703,0.58309,0.53945,0.14783,0.1364,0.12522,0.11429,0.074976,0.044768,0.021629,0.030172,0.057622,0.088184,0.1202,0.05752,0.051001,0.098334,0.15731,0.2195,0.28361,0.050655,0.050667,0.050885,0.051288,0.051858,0.052581,0.053448,0.056427,0.04955,0.042817,0.03622,0.029749,0.023405,0.017208,0.011255,0.0061,0.005136,0.009688,0.015506,0.021632,0.027918,0.034338,0.063889,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,0.030759,0.025717,0.020826,0.016877,0.013696,0.005796,0.002964,0.005188,0.009375,0.013862,0.018457,0.023126,0.027865,0.032679,0.037574,0.042558,0.040816,0.040427,0.04071,0.041647,0.043214,0.045385,0.34024,0.27243,0.20657,0.14292,0.083149,0.041289,0.12442,0.080552,0.082804,0.12809,0.18771,0.25244,0.3202,0.40317,0.44611,0.48931,0.53288,0.57695,0.42923,0.39839,0.36953,0.3436,0.32187,1.6527,1.3788,1.1512,0.96852,0.8299,0.73635,1.046,0.91413,1.074,0.55603,0.47117,0.50562,0.6931,0.98864,1.356,1.7797,2.0587,2.0052,2.0552,2.2221,2.5159,2.9407,3.495,4.1757,6.1985,6.8377,7.4988,8.7565,8.3481,8.0774,7.9632,8.0216,8.2631,8.6906,9.3,10.082,13.277,15.551,14.67,13.917,13.3,12.83,12.518,12.371,12.398,12.603,12.985,13.542,16.583,15.783,14.599,13.514,12.533,11.667,10.931,10.346,9.9368,9.7272,9.7393,11.867,11.657,11.443,10.513,8.9187,7.3788,5.9,4.5106,3.3008,2.536,2.6562,3.6053,2.9086,2.9084,2.9063,2.9023,2.8964,2.8885,2.5369,1.928,1.343,0.8093,0.49091,0.73664,1.2456,1.8084,2.3899,2.9833,0.64501,0.60049,0.1715,0.15947,0.15342,0.13107,0.11423,0.10414,0.10182,0.10724,0.11926,0.13639,0.15745,0.12903,0.073976,0.044876,0.079863,0.13705,0.19889,0.26295,0.32879,0.059988,0.060458,0.061093,0.061881,0.062816,0.064529,0.05737,0.050373,0.043526,0.03682,0.030246,0.023802,0.017508,0.011456,0.006181,0.005096,0.027,0.029752,0.033316,0.043551,0.05352,0.063751,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,0.030959,0.025851,0.020894,0.016105,0.013607,0.009701,0.00766,0.008887,0.012506,0.014256,0.018922,0.023664,0.028478,0.03337,0.038346,0.043414,0.048582,0.046906,0.046454,0.046634,0.047436,0.048843,0.32157,0.25341,0.18728,0.12367,0.065752,0.041778,0.085305,0.16006,0.13772,0.14709,0.1831,0.23411,0.29313,0.35723,0.42528,0.49695,0.57572,0.62062,0.53052,0.4966,0.46419,2.0221,1.6522,1.3301,1.0547,0.82499,0.64025,0.50226,0.41837,1.761,1.2956,1.0268,0.90961,0.86971,0.83008,0.92393,1.1404,1.458,1.8538,2.3132,3.1556,3.2258,3.3918,3.6715,4.0786,4.6209,5.3003,6.1151,7.4876,8.1753,11.31,10.838,10.486,10.268,10.2,10.294,10.559,11.001,11.618,12.406,13.357,120.91,117.66,114.64,111.87,109.34,107.06,105.02,103.23,101.68,100.39,99.351,64.864,68.93,16.771,15.705,14.743,13.894,13.167,12.577,12.141,11.875,11.798,11.924,13.871,13.331,11.665,10.062,8.5197,7.0479,5.6719,4.4586,3.5679,3.2839,3.7723,3.8237,3.8227,3.8202,3.8159,3.8099,3.8021,3.1685,2.5407,1.9327,1.3515,0.82828,0.53132,0.77095,1.2697,1.8265,2.4037,2.9932,0.66099,0.23019,0.21095,0.1968,0.1876,0.18302,0.18254,0.18564,0.1918,0.20065,0.21199,0.22577,0.21128,0.15083,0.093178,0.049116,0.06346,0.11716,0.1784,0.24239,0.30829,0.070093,0.070785,0.071632,0.07263,0.072897,0.065435,0.058152,0.051037,0.044079,0.037267,0.030592,0.024053,0.020633,0.017549,0.016172,0.01682,0.019239,0.022862,0.033665,0.043454,0.05353,0.063869,NaN,NaN,NaN,NaN
